,url,name,price,stock
28,https://www.bol.com/nl/nl/p/lg-34wp75c-b-qhd-va-usb-c-curved-monitor-65w-34-inch/9300000033854940/,LG 34WP75C-B - QHD VA USB-C Curved Monitor - 65w -,"469
  -","Op voorraad
"
29,https://www.bol.com/nl/nl/p/qumax-portable-monitor-proscreen-2-0-15-6-inch-draagbare-monitor-full-hd-hdmi-usb-c-inclusief-hoes-standaard-multifunctioneel-ingebouwde-speakers/9300000105042095/,Qumax Portable Monitor PROscreen 2.0 – 15.6 inch D,"199
  95","Op voorraad
"
30,https://www.bol.com/nl/nl/p/chiq-32p625q-32-inch-qhd-led-ips-monitor-5-ms-ultra-dunne-randen-minder-blauw-licht-geen-flikkeringen/9300000027529838/,CHiQ 32P625Q - 32 inch QHD (2560x1440) LED IPS-mon,"259
  99","Op voorraad
"
31,https://www.bol.com/nl/nl/p/msi-optix-g27c6p-full-hd-curved-165-hz-gaming-monitor-27-inch/9300000016569218/,MSI Optix G27C6P - Full HD Curved 165 Hz Gaming Mo,"219
  -","Op voorraad
"
32,https://www.bol.com/nl/nl/p/samsung-lf24t450fqu-full-hd-ips-monitor-24-inch/9300000011464947/,Samsung LF24T450FQU - Full HD IPS Monitor - 24 inc,"179
  -","Op voorraad
"
33,https://www.bol.com/nl/nl/p/iiyama-g-master-red-eagle-g2766hsu-b1-full-hd-va-curved-165hz-gaming-monitor-27-inch/9300000044111765/,Iiyama G-Master Red Eagle G2766HSU-B1 - Full HD VA,"219
  -","Op voorraad
"
34,https://www.bol.com/nl/nl/p/lg-34gn850-ultragear-qhd-nano-ips-144hz-gaming-monitor-34-inch/9300000001337798/,LG 34GN850 Ultragear  - QHD Nano IPS 144Hz Gaming ,"729
  -","Let op, bijn"
35,https://www.bol.com/nl/nl/p/aoc-c27g2ze-full-hd-va-curved-240hz-gaming-monitor-27-inch/9300000001951398/,AOC C27G2ZE -  Full HD VA Curved 240Hz Gaming Moni,"229
  -","Op voorraad
"
36,https://www.bol.com/nl/nl/p/philips-24m1n3200vs-00-full-hd-gaming-monitor-165hz-24-inch/9300000058758741/,Philips 24M1N3200VS/00 - Full HD Gaming Monitor - ,"169
  -","Op voorraad
"
37,https://www.bol.com/nl/nl/p/msi-optix-mag274qrf-qd-qhd-ips-usb-c-165hz-gaming-monitor-27-inch/9300000016833354/,MSI Optix MAG274QRF-QD - QHD IPS USB-C 165Hz Gamin,"399
  -","Op voorraad
"
38,https://www.bol.com/nl/nl/p/msi-optix-g241-full-hd-ips-144hz-gaming-monitor-24-inch/9300000001327686/,MSI Optix G241 - Full HD IPS 144Hz Gaming Monitor ,"160
  78","Op voorraad
"
39,https://www.bol.com/nl/nl/p/lg-32un650-w-4k-ips-monitor-32-inch/9300000005321169/,"LG 32UN650-W - 4K IPS Monitor - 32 inch
32'' hoge ","369
  -","Op voorraad
"
40,https://www.bol.com/nl/nl/p/samsung-odyssey-g9-neo-qhd-mini-led-curved-ultrawide-240hz-gaming-monitor-hdmi-2-1-49-inch/9300000045642554/,Samsung Odyssey G9 Neo - QHD Mini LED Curved Ultra,"1799
  -","Op voorraad
"
41,https://www.bol.com/nl/nl/p/lenovo-q27h-10-qhd-ips-usb-c-monitor-27-inch/9300000004799454/,"Lenovo Q27h-10 - QHD IPS USB-C Monitor - 27 inch
S","299
  -","Op voorraad
"
42,https://www.bol.com/nl/nl/p/acer-eh273abix-27inch-zeroframe-va-4ms-250cd-m2-vga-hdmi-audio-out-eu-emea-black/9300000035219422/,ACER EH273Abix 27inch ZeroFrame VA 4ms 250cd/m2 VG,"159
  -","Op voorraad
"
43,https://www.bol.com/nl/nl/p/philips-272e1gaj-full-hd-va-144hz-gaming-monitor-27-inch/9300000010303865/,Philips 272E1GAJ - Full HD VA 144hz Gaming Monitor,"179
  -","Op voorraad
"
44,https://www.bol.com/nl/nl/p/lenovo-l24i-30-full-hd-ips-monitor-24-inch/9300000025689537/,"Lenovo L24i-30 - Full HD IPS Monitor - 24 inch
Sti","149
  -","Op voorraad
"
45,https://www.bol.com/nl/nl/p/samsung-odyssey-g70a-4k-ips-144hz-gaming-monitor-hdmi-2-1-28-inch/9300000043078845/,Samsung Odyssey G70A - 4K IPS 144Hz Gaming Monitor,"649
  -","Op voorraad
"
46,https://www.bol.com/nl/nl/p/qumax-portable-monitor-15-6-inch-draagbare-monitor-full-hd-hdmi-usb-c-inclusief-hoes-standaard-multifunctioneel-ingebouwde-speakers/9300000061737170/,Qumax Portable Monitor – 15.6 inch Draagbare monit,"229
  -","Op voorraad
"
47,https://www.bol.com/nl/nl/p/samsung-odyssey-g7-2021-lc27g73tqsrxen-qhd-va-curved-240hz-gaming-monitor-27-inch/9300000030168523/,Samsung Odyssey G7 2021 LC27G73TQSRXEN - QHD VA Cu,"399
  -","Op voorraad
"
48,https://www.bol.com/nl/nl/p/stane-polestar-ips-portable-monitor-full-hd-hdmi-usb-c-inclusief-powerbank-20-000-mah-15-6-inch/9300000009917430/,®️Stane Polestar - IPS Portable monitor - Full HD ,"262
  -","Op voorraad
"
49,https://www.bol.com/nl/nl/p/philips-241e1sc-full-hd-curved-monitor-24-inch/9300000013664210/,Philips 241E1SC - Full HD Curved Monitor - 24 inch,"139
  -","Op voorraad
"
50,https://www.bol.com/nl/nl/p/aoc-24g2su-full-hd-165hz-gaming-monitor-g-sync-compatible-24-inch/9300000047085973/,AOC 24G2SU - Full HD 165Hz Gaming Monitor - G-Sync,"189
  -","Op voorraad
"
